2026/03/02 17:24:07.480, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:07.681, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:07.881, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:08.081, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:08.282, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:08.482, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:08.682, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:08.883, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:09.083, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:09.284, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:09.484, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:09.684, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:09.885, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:10.085, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:10.285, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:10.486, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:10.686, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:10.887, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:11.087, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:11.287, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:11.488, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:11.688, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:11.888, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:12.089, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:12.289, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:12.489, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:12.690, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:12.890, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:13.091, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:13.291, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:13.491, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:13.692, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:13.892, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:14.092, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:14.293, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:14.493, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:14.694, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:14.894, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:15.094, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:15.295, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:15.495, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:15.695, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:15.896, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:16.096, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:16.296, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:16.497, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:16.697, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:16.898, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:17.098, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:17.298, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:17.499, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:17.699, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:17.899, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:18.100, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:18.300, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:18.501, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:18.701, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:18.901, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:19.102, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:19.302, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:19.503, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:19.703, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:19.903, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:20.104, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:20.304, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:20.504, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:20.705, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:20.905, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:21.106, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:21.306, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:21.506, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:21.707, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:21.907, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:22.107, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:22.308, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:22.508, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:22.709, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:22.909, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:23.109, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:23.310, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:23.510, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:23.710, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:23.911, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:24.111, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:24.311, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:24.512, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:24.712, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:24.913, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
