2026/03/02 17:34:42.706, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:42.807, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:42.907, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:43.007, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:43.108, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:43.208, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:43.308, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:43.409, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:43.509, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:43.609, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:43.710, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:43.810, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:43.910, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:44.011, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:44.111, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:44.211, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:44.312, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:44.412, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:44.512, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:44.613, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:44.713, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:44.813, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:44.914, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:45.014, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:45.114, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:45.215, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:45.315, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:45.415, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:45.516, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:45.616, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:45.716, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:45.817, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:45.917, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:46.018, P0, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:46.118, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:46.218, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:46.318, P0, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:46.419, P0, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:46.519, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:46.620, P0, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:46.720, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:46.820, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:46.921, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:47.021, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:47.121, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:47.222, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:47.322, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:47.422, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:47.522, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:47.623, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:47.723, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:47.824, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:47.924, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:48.024, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:48.125, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:48.225, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:48.325, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:48.426, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:48.526, P0, 28.13 W, 210 MHz, 1215 MHz, 31
