2026/03/02 17:23:10.249, P0, 100 %, 176.11 W, 1410 MHz, 1215 MHz, 38
2026/03/02 17:23:10.450, P0, 100 %, 181.09 W, 1410 MHz, 1215 MHz, 38
2026/03/02 17:23:10.650, P0, 100 %, 177.51 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:23:10.851, P0, 100 %, 173.55 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:23:11.051, P0, 100 %, 172.64 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:23:11.251, P0, 100 %, 270.09 W, 1335 MHz, 1215 MHz, 41
2026/03/02 17:23:11.452, P0, 100 %, 61.04 W, 1395 MHz, 1215 MHz, 36
2026/03/02 17:23:11.652, P0, 64 %, 50.25 W, 1410 MHz, 1215 MHz, 35
2026/03/02 17:23:11.852, P0, 4 %, 49.32 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:23:12.053, P0, 0 %, 49.32 W, 1410 MHz, 1215 MHz, 33
2026/03/02 17:23:12.253, P0, 0 %, 50.25 W, 1410 MHz, 1215 MHz, 33
2026/03/02 17:23:12.454, P0, 0 %, 50.25 W, 1410 MHz, 1215 MHz, 33
2026/03/02 17:23:12.654, P0, 0 %, 50.25 W, 1410 MHz, 1215 MHz, 33
2026/03/02 17:23:12.854, P0, 0 %, 49.83 W, 1410 MHz, 1215 MHz, 32
2026/03/02 17:23:13.055, P0, 0 %, 49.83 W, 1410 MHz, 1215 MHz, 32
2026/03/02 17:23:13.255, P0, 0 %, 50.25 W, 1410 MHz, 1215 MHz, 32
2026/03/02 17:23:13.455, P0, 0 %, 28.56 W, 300 MHz, 1215 MHz, 32
2026/03/02 17:23:13.656, P0, 0 %, 28.56 W, 285 MHz, 1215 MHz, 31
2026/03/02 17:23:13.856, P0, 0 %, 28.13 W, 255 MHz, 1215 MHz, 31
2026/03/02 17:23:14.057, P0, 0 %, 28.13 W, 240 MHz, 1215 MHz, 31
2026/03/02 17:23:14.257, P0, 0 %, 28.13 W, 225 MHz, 1215 MHz, 31
2026/03/02 17:23:14.457, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:23:14.658, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:23:14.858, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:23:15.059, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:23:15.259, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:23:15.459, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:23:15.660, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:23:15.860, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:23:16.060, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:23:16.261, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:23:16.461, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:23:16.661, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:23:16.862, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:17.062, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:17.263, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:17.463, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:17.663, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:17.864, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:18.064, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:18.264, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:18.465, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:18.665, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:18.866, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:19.066, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:19.266, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:19.467, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:19.667, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:19.867, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:20.068, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:20.268, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:20.469, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:20.669, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:20.869, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:21.070, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:21.270, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:21.470, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:21.671, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:21.871, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:22.072, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
